"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. ",,,,,,,,,
The data are 12 month moving averages of monthly median wage growth for each category,,,,,,,,,
,16-24,25-54,55+,Overall,,,,,
1/1/07,7.7,4.0,2.7,3.9,,,,,
2/1/07,7.8,4.0,2.6,3.9,,,,,
3/1/07,7.8,4.0,2.8,4.0,,,,,
4/1/07,8.0,4.0,2.8,4.0,,,,,
5/1/07,8.6,4.0,2.9,4.0,,,,,
6/1/07,8.6,4.0,3.0,4.0,,,,,
7/1/07,8.8,4.1,3.1,4.1,,,,,
8/1/07,9.1,4.1,3.1,4.1,,,,,
9/1/07,9.3,4.2,3.2,4.2,,,,,
10/1/07,9.1,4.2,3.3,4.2,,,,,
11/1/07,9.1,4.2,3.3,4.2,,,,,
12/1/07,9.1,4.2,3.2,4.2,,,,,
1/1/08,9.1,4.1,3.2,4.1,,,,,
2/1/08,9.1,4.1,3.3,4.2,,,,,
3/1/08,9.0,4.1,3.2,4.1,,,,,
4/1/08,8.8,4.1,3.2,4.1,,,,,
5/1/08,8.7,4.1,3.2,4.1,,,,,
6/1/08,8.6,4.1,3.2,4.1,,,,,
7/1/08,8.4,4.1,3.3,4.1,,,,,
8/1/08,8.0,4.0,3.2,4.1,,,,,
9/1/08,7.7,4.0,3.2,4.0,,,,,
10/1/08,7.5,4.0,3.2,4.0,,,,,
11/1/08,7.3,4.0,3.2,4.0,,,,,
12/1/08,7.1,4.0,3.2,4.0,,,,,
1/1/09,6.9,4.0,3.1,3.9,,,,,
2/1/09,6.7,3.9,3.1,3.8,,,,,
3/1/09,6.6,3.8,3.1,3.8,,,,,
4/1/09,6.4,3.7,3.0,3.7,,,,,
5/1/09,6.1,3.6,3.0,3.7,,,,,
6/1/09,5.8,3.6,2.9,3.5,,,,,
7/1/09,5.7,3.4,2.8,3.4,,,,,
8/1/09,5.5,3.3,2.6,3.3,,,,,
9/1/09,5.6,3.1,2.4,3.1,,,,,
10/1/09,5.5,3.0,2.2,3.0,,,,,
11/1/09,5.1,2.8,2.1,2.8,,,,,
12/1/09,4.9,2.6,1.8,2.6,,,,,
1/1/10,4.3,2.5,1.8,2.5,,,,,
2/1/10,4.2,2.4,1.7,2.4,,,,,
3/1/10,4.2,2.3,1.5,2.3,,,,,
4/1/10,3.9,2.2,1.4,2.1,,,,,
5/1/10,3.7,2.1,1.0,2.0,,,,,
6/1/10,3.8,2.0,0.9,1.9,,,,,
7/1/10,3.7,2.0,0.9,1.8,,,,,
8/1/10,3.7,2.0,0.8,1.8,,,,,
9/1/10,3.5,2.0,0.8,1.8,,,,,
10/1/10,3.5,1.9,0.7,1.7,,,,,
11/1/10,3.6,1.9,0.6,1.7,,,,,
12/1/10,3.9,1.9,0.7,1.8,,,,,
1/1/11,4.1,1.9,0.7,1.8,,,,,
2/1/11,3.9,1.9,0.7,1.8,,,,,
3/1/11,3.9,2.0,0.6,1.8,,,,,
